順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
182,796,1946,(株)トーエネック,東証PRM,"2,042",-7,-0.34,"83,200",04/03
183,798,7475,アルビス(株),東証PRM,"2,611",-9,-0.34,"8,600",04/03
184,799,7723,愛知時計電機(株),東証PRM,"2,973",-10,-0.34,"9,100",04/03
185,801,9605,東映(株),東証PRM,"5,950",-20,-0.34,"57,300",04/03
186,802,2733,(株)あらた,東証PRM,"3,015",-10,-0.33,"47,400",04/03
187,804,3284,(株)フージャースホールディングス,東証PRM,"1,217",-4,-0.33,"88,300",04/03
188,808,5911,(株)横河ブリッジホールディングス,東証PRM,"3,020",-10,-0.33,"53,300",04/03
189,809,6073,(株)アサンテ,東証PRM,"1,515",-5,-0.33,"37,700",04/03
190,810,6178,日本郵政(株),東証PRM,"1,827",-6,-0.33,"2,404,600",04/03
191,813,8714,(株)池田泉州ホールディングス,東証PRM,915,-3,-0.33,"879,500",04/03
192,817,1941,(株)中電工,東証PRM,"4,670",-15,-0.32,"45,000",04/03
193,819,212A,フィットイージー(株),東証PRM,"2,161",-7,-0.32,"88,200",04/03
194,820,2211,(株)不二家,東証PRM,"2,487",-8,-0.32,"18,500",04/03
195,822,3962,(株)チェンジホールディングス,東証PRM,938,-3,-0.32,"165,000",04/03
196,823,4345,(株)シーティーエス,東証PRM,921,-3,-0.32,"22,500",04/03
197,828,7384,(株)プロクレアホールディングス,東証PRM,"3,160",-10,-0.32,"41,200",04/03
198,829,8551,(株)北日本銀行,東証PRM,"4,675",-15,-0.32,"17,100",04/03
199,830,9936,(株)王将フードサービス,東証PRM,"3,090",-10,-0.32,"102,800",04/03
200,831,1379,ホクト(株),東証PRM,"1,933",-6,-0.31,"46,900",04/03
201,832,2163,(株)アルトナー,東証PRM,"1,950",-6,-0.31,"10,900",04/03
202,835,4559,ゼリア新薬工業(株),東証PRM,"2,287",-7,-0.31,"104,400",04/03
203,836,5331,ノリタケ(株),東証PRM,"3,185",-10,-0.31,"97,000",04/03
204,837,5929,三和ホールディングス(株),東証PRM,"3,557",-11,-0.31,"487,100",04/03
205,839,7164,全国保証(株),東証PRM,"3,190",-10,-0.31,"359,400",04/03
206,842,7267,ホンダ,東証PRM,"1,269",-4,-0.31,"13,387,200",04/03
207,844,9065,山九(株),東証PRM,"8,896",-28,-0.31,"155,100",04/03
208,849,3880,大王製紙(株),東証PRM,"1,009",-3,-0.3,"201,200",04/03
209,851,4733,(株)オービックビジネスコンサルタント,東証PRM,"6,327",-19,-0.3,"85,700",04/03
210,854,5943,(株)ノーリツ,東証PRM,"2,343",-7,-0.3,"48,100",04/03
211,857,7947,(株)エフピコ,東証PRM,"2,345",-7,-0.3,"188,000",04/03
212,858,7974,任天堂(株),東証PRM,"8,736",-26,-0.3,"5,521,500",04/03
213,867,8158,ソーダニッカ(株),東証PRM,"1,045",-3,-0.29,"40,800",04/03
214,868,8252,(株)丸井グループ,東証PRM,"3,121",-9,-0.29,"628,900",04/03
215,873,3109,シキボウ(株),東証PRM,"1,075",-3,-0.28,"20,400",04/03
216,876,8173,(株)Ｊｏｓｈｉｎ,東証PRM,"2,900",-8,-0.28,"63,600",04/03
217,877,8316,(株)三井住友フィナンシャルグループ,東証PRM,"5,373",-15,-0.28,"7,293,400",04/03
218,880,9644,(株)タナベコンサルティンググループ,東証PRM,716,-2,-0.28,"12,000",04/03
219,882,3395,(株)サンマルクホールディングス,東証PRM,"2,997",-8,-0.27,"34,400",04/03
220,886,4886,あすか製薬ホールディングス(株),東証PRM,"2,603",-7,-0.27,"93,700",04/03
221,890,8399,(株)琉球銀行,東証PRM,"2,304",-6,-0.26,"119,700",04/03
222,891,8739,スパークス・グループ(株),東証PRM,"1,918",-5,-0.26,"69,500",04/03
223,892,8766,東京海上ホールディングス(株),東証PRM,"7,243",-19,-0.26,"3,548,000",04/03
224,904,8103,明和産業(株),東証PRM,792,-2,-0.25,"281,300",04/03
225,905,2108,日本甜菜製糖(株),東証PRM,"4,140",-10,-0.24,"18,300",04/03
226,906,2198,アイ・ケイ・ケイホールディングス(株),東証PRM,815,-2,-0.24,"41,400",04/03
227,908,4521,科研製薬(株),東証PRM,"4,195",-10,-0.24,"79,900",04/03
